iter	Passed	Remaining
0	3	3488
1	6	3281
2	9	3000
3	10	2726
4	13	2594
5	14	2461
6	16	2388
7	19	2365
8	20	2292
9	22	2225
10	24	2170
11	25	2125
12	27	2082
13	29	2045
14	30	2011
15	32	1986
16	33	1962
17	35	1941
18	37	1918
19	38	1909
20	40	1898
21	42	1878
22	43	1860
23	45	1848
24	47	1835
25	48	1823
26	50	1815
27	51	1802
28	53	1795
29	55	1784
30	56	1773
31	58	1765
32	60	1758
33	61	1748
34	63	1754
35	65	1746
36	66	1738
37	68	1730
38	69	1724
39	71	1717
40	73	1712
41	74	1706
42	77	1718
43	78	1712
44	80	1705
45	81	1699
46	83	1695
47	85	1690
48	86	1687
49	88	1683
50	90	1681
51	91	1676
52	93	1673
53	95	1670
54	96	1665
55	98	1660
56	100	1658
57	101	1655
58	103	1652
59	105	1646
60	106	1643
61	108	1639
62	109	1635
63	111	1630
64	113	1628
65	114	1625
66	116	1622
67	118	1619
68	119	1615
69	121	1613
70	123	1610
71	124	1607
72	126	1605
73	128	1602
74	129	1600
75	131	1598
76	133	1605
77	135	1602
78	137	1599
79	138	1596
80	140	1592
81	141	1589
82	143	1586
83	145	1591
84	147	1587
85	149	1585
86	150	1582
87	152	1580
88	154	1577
89	155	1574
90	157	1571
91	158	1569
92	160	1567
93	162	1564
94	163	1561
95	165	1559
96	167	1556
97	168	1555
98	170	1552
99	172	1550
100	173	1548
101	175	1545
102	177	1542
103	178	1540
104	180	1538
105	182	1536
106	183	1534
107	185	1532
108	187	1530
109	189	1529
110	190	1527
111	192	1525
112	194	1522
113	195	1520
114	197	1518
115	198	1516
116	200	1514
117	202	1511
118	203	1509
119	205	1507
120	207	1503
121	208	1501
122	210	1498
123	211	1496
124	213	1494
125	215	1492
126	216	1489
127	218	1486
128	219	1484
129	221	1482
130	223	1479
131	224	1478
132	226	1475
133	228	1478
134	230	1476
135	232	1475
136	233	1473
137	235	1471
138	237	1469
139	238	1466
140	240	1465
141	242	1462
142	243	1461
143	245	1459
144	247	1456
145	248	1454
146	250	1452
147	251	1449
148	253	1447
149	255	1446
150	256	1443
151	258	1441
152	260	1439
153	261	1437
154	263	1434
155	264	1432
156	266	1430
157	268	1429
158	269	1427
159	271	1426
160	273	1424
161	274	1422
162	276	1420
163	278	1421
164	280	1418
165	281	1416
166	283	1414
167	285	1412
168	286	1410
169	288	1407
170	289	1405
171	291	1403
172	293	1400
173	294	1399
174	296	1397
175	297	1394
176	299	1392
177	301	1391
178	302	1388
179	304	1386
180	306	1384
181	307	1382
182	309	1380
183	310	1378
184	312	1376
185	314	1374
186	315	1372
187	317	1371
188	319	1368
189	320	1367
190	322	1364
191	323	1362
192	325	1361
193	327	1359
194	328	1356
195	330	1355
196	332	1353
197	333	1351
198	335	1349
199	336	1347
200	338	1345
201	340	1344
202	342	1343
203	343	1341
204	345	1340
205	347	1339
206	348	1336
207	350	1334
208	352	1332
209	353	1330
210	355	1328
211	357	1327
212	358	1325
213	360	1323
214	361	1321
215	363	1320
216	365	1318
217	366	1316
218	368	1313
219	370	1311
220	371	1310
221	373	1308
222	375	1306
223	376	1305
224	378	1303
225	380	1301
226	381	1300
227	383	1298
228	385	1296
229	386	1294
230	388	1293
231	390	1291
232	391	1290
233	393	1288
234	395	1286
235	397	1285
236	398	1283
237	400	1281
238	402	1280
239	403	1278
240	405	1276
241	407	1275
242	408	1273
243	410	1271
244	412	1269
245	413	1268
246	415	1266
247	417	1264
248	418	1262
249	420	1260
250	421	1258
251	423	1257
252	425	1255
253	426	1253
254	428	1251
255	430	1250
256	431	1248
257	433	1246
258	435	1245
259	436	1243
260	438	1242
261	440	1240
262	442	1239
263	443	1237
264	445	1235
265	447	1234
266	449	1232
267	450	1231
268	452	1230
269	454	1228
270	456	1227
271	458	1226
272	459	1224
273	461	1223
274	463	1222
275	465	1220
276	467	1219
277	468	1217
278	470	1216
279	472	1215
280	474	1213
281	476	1212
282	478	1211
283	480	1210
284	481	1208
285	483	1207
286	485	1205
287	486	1203
288	488	1201
289	490	1199
290	491	1197
291	493	1195
292	494	1194
293	496	1191
294	497	1189
295	499	1187
296	500	1185
297	502	1183
298	504	1182
299	505	1180
300	507	1178
301	508	1176
302	510	1174
303	512	1172
304	513	1170
305	515	1168
306	516	1166
307	518	1164
308	520	1163
309	521	1161
310	523	1159
311	525	1157
312	526	1155
313	528	1153
314	529	1152
315	531	1150
316	533	1148
317	534	1146
318	536	1144
319	537	1142
320	539	1141
321	540	1139
322	542	1137
323	544	1135
324	545	1133
325	547	1131
326	548	1129
327	550	1127
328	551	1125
329	553	1124
330	555	1122
331	556	1120
332	558	1118
333	560	1116
334	561	1115
335	563	1113
336	564	1111
337	566	1109
338	567	1107
339	569	1105
340	571	1103
341	572	1101
342	574	1100
343	575	1098
344	578	1097
345	579	1096
346	581	1094
347	583	1092
348	584	1090
349	586	1088
350	588	1087
351	589	1085
352	591	1083
353	592	1081
354	594	1080
355	596	1078
356	597	1076
357	599	1074
358	600	1072
359	602	1071
360	604	1069
361	605	1067
362	607	1065
363	608	1063
364	610	1062
365	612	1060
366	613	1058
367	616	1057
368	617	1056
369	619	1054
370	620	1052
371	622	1050
372	623	1048
373	625	1047
374	627	1045
375	628	1043
376	630	1042
377	632	1040
378	634	1039
379	635	1037
380	637	1035
381	639	1033
382	640	1031
383	642	1030
384	643	1028
385	645	1026
386	646	1024
387	648	1022
388	649	1020
389	651	1018
390	653	1017
391	654	1015
392	656	1013
393	658	1012
394	659	1010
395	661	1008
396	662	1006
397	664	1004
398	665	1003
399	667	1001
400	669	1000
401	671	998
402	673	996
403	674	995
404	676	993
405	677	991
406	679	989
407	681	988
408	682	986
409	684	984
410	686	983
411	687	981
412	689	979
413	690	977
414	692	975
415	693	974
416	695	972
417	696	970
418	698	968
419	700	966
420	701	965
421	703	963
422	705	961
423	707	961
424	708	959
425	710	957
426	712	955
427	713	954
428	715	952
429	717	950
430	718	948
431	720	947
432	722	946
433	724	944
434	725	942
435	727	940
436	728	939
437	730	937
438	732	935
439	733	933
440	735	932
441	737	930
442	738	928
443	740	926
444	741	924
445	743	923
446	744	921
447	746	919
448	747	917
449	749	916
450	751	914
451	752	912
452	754	911
453	756	909
454	758	908
455	760	907
456	762	905
457	763	903
458	765	901
459	766	900
460	768	898
461	769	896
462	771	894
463	773	893
464	774	891
465	776	889
466	777	887
467	779	886
468	781	884
469	782	882
470	784	880
471	785	878
472	787	877
473	788	875
474	790	873
475	792	872
476	793	870
477	795	868
478	797	866
479	798	865
480	800	863
481	802	861
482	803	860
483	805	858
484	806	856
485	808	855
486	810	853
487	811	851
488	813	849
489	814	848
490	816	846
491	818	844
492	819	842
493	821	841
494	822	839
495	824	837
496	826	835
497	827	834
498	829	832
499	830	830
500	832	829
501	834	827
502	835	825
503	837	823
504	838	822
505	840	820
506	842	818
507	843	817
508	845	815
509	846	813
510	848	812
511	850	810
512	852	809
513	853	807
514	855	805
515	857	803
516	858	802
517	860	800
518	862	799
519	864	797
520	865	796
521	867	794
522	869	792
523	870	791
524	872	789
525	873	787
526	875	785
527	876	783
528	878	782
529	880	780
530	881	778
531	883	776
532	884	775
533	886	773
534	887	771
535	889	769
536	891	768
537	892	766
538	894	765
539	896	763
540	897	761
541	899	759
542	900	758
543	902	756
544	903	754
545	905	752
546	906	751
547	908	749
548	910	747
549	911	745
550	913	744
551	915	742
552	916	741
553	918	739
554	920	737
555	921	736
556	923	734
557	925	732
558	926	731
559	928	729
560	929	727
561	931	725
562	932	724
563	934	722
564	936	720
565	937	718
566	939	717
567	940	715
568	942	713
569	943	712
570	945	710
571	947	708
572	949	707
573	950	705
574	952	704
575	954	702
576	955	700
577	957	698
578	958	697
579	960	695
580	962	693
581	963	692
582	965	690
583	966	688
584	968	686
585	969	685
586	971	683
587	973	681
588	975	680
589	976	678
590	978	677
591	979	675
592	981	673
593	983	672
594	984	670
595	986	668
596	988	667
597	990	665
598	991	663
599	993	662
600	995	660
601	997	659
602	998	657
603	1000	655
604	1002	654
605	1003	652
606	1005	650
607	1007	649
608	1008	647
609	1010	645
610	1012	644
611	1013	642
612	1015	641
613	1016	639
614	1018	637
